ID_LOCAL;CANAL;HOLDING;CADENA;CLIENTE;COD_PROV;COD_LOCAL;LOCAL;FORMATO_LOCAL;CLUSTER;REGION;CIUDAD;COMUNA;ZONA_NIELSEN;KAM;SUPERVISOR;VENDEDOR;REPONEDOR;ESTATUS;LATITUD;LONGITUD;DIRECCION;ZONA;VISITAS_MENSUALES;VISITA;ORIGEN;FECHA_INGRESO;LOCAL_B2B

1;SUPERMERCADOS;CENCOSUD;JUMBO;CENCOSUD;;J501;JUMBO - BILBAO;JUMBO;CLUSTER 3;13 - METROPOLITANA;SANTIAGO;LAS CONDES;GRAN STGO. Z2A;NO ASIGNADO;MARISOL OJEDA;NO ASIGNADO;NO ASIGNADO;1;-33.4297695;-70.5784809;JUMBO AV. FRANCISCO BILBAO 4144, SANTIAGO, LAS CONDES, REGIÓN METROPOLITANA;NO DEFINIDO;0;NO DEFINIDO;SELLOUT;;

2;SUPERMERCADOS;CENCOSUD;JUMBO;CENCOSUD;;J502;JUMBO - ALTO LAS CONDES;JUMBO;CLUSTER 3;13 - METROPOLITANA;SANTIAGO;LAS CONDES;GRAN STGO. Z2B;NO ASIGNADO;MARISOL OJEDA;NO ASIGNADO;NO ASIGNADO;1;-33.3908715;-70.5462877;JUMBO AV PRESIDENTE KENNEDY 9001, LAS CONDES, REGIÓN METROPOLITANA;NO DEFINIDO;0;NO DEFINIDO;SELLOUT;;

3;SUPERMERCADOS;CENCOSUD;JUMBO;CENCOSUD;;J511;JUMBO - COSTANERA;JUMBO;CLUSTER 3;13 - METROPOLITANA;SANTIAGO;VITACURA;GRAN STGO. Z2B;NO ASIGNADO;MARISOL OJEDA;NO ASIGNADO;NO ASIGNADO;1;-33.41764105245821;-70.6063587244432;JUMBO ANDRÉS BELLO 2465, PISO 1, PROVIDENCIA, REGIÓN METROPOLITANA;NO DEFINIDO;0;NO DEFINIDO;SELLOUT;;

4;SUPERMERCADOS;CENCOSUD;JUMBO;CENCOSUD;;J512;JUMBO - PORTAL LA REINA;JUMBO;CLUSTER 3;13 - METROPOLITANA;SANTIAGO;LA REINA;GRAN STGO. Z2A;NO ASIGNADO;JAIME VERA;NO ASIGNADO;NO ASIGNADO;1;-33.4279259;-70.542998317;JUMBO AV. FRANCISCO BILBAO 8750, LAS CONDES, REGIÓN METROPOLITANA;NO DEFINIDO;0;NO DEFINIDO;SELLOUT;;

5;SUPERMERCADOS;CENCOSUD;JUMBO;CENCOSUD;;J514;JUMBO - LA DEHESA;JUMBO;CLUSTER 3;13 - METROPOLITANA;SANTIAGO;LO BARNECHEA;GRAN STGO. Z2B;NO ASIGNADO;JAIME VERA;NO ASIGNADO;NO ASIGNADO;1;-33.3575796;-70.517455117;JUMBO AV. LA DEHESA 1445, LO BARNECHEA, REGIÓN METROPOLITANA;NO DEFINIDO;0;NO DEFINIDO;SELLOUT;;
